n,algorithm,time_ns,comparisons,allocations,max_depth
100,MergeSort,521200,554,1,4
100,QuickSort,675800,656,0,4
100,Select,706400,593,8,5
100,ClosestPair,6109000,138,1,5
200,MergeSort,87900,1312,1,5
200,QuickSort,150200,1749,0,4
200,Select,96900,1353,14,7
200,ClosestPair,440700,287,1,6
400,MergeSort,204600,3034,1,6
400,QuickSort,105700,3580,0,6
400,Select,260500,3820,34,9
400,ClosestPair,1012300,565,1,7
800,MergeSort,192200,6884,1,7
800,QuickSort,146500,9023,0,6
800,Select,199400,6556,29,10
800,ClosestPair,800000,1147,1,8
1600,MergeSort,136300,15424,1,8
1600,QuickSort,266200,20757,0,6
1600,Select,264700,18476,77,12
1600,ClosestPair,1356100,2348,1,9
3200,MergeSort,281800,33981,1,9
3200,QuickSort,505200,40707,0,7
3200,Select,165600,24444,90,11
3200,ClosestPair,2803200,4720,1,10
6400,MergeSort,588300,74541,1,10
6400,QuickSort,817100,90273,0,8
6400,Select,511000,87769,210,17
6400,ClosestPair,7320000,9472,1,11
